temperatura,umidade,pressao,vento,chuva,nivel_agua,gases,luminosidade,evento
42.1,29.08,978.7,8.75,265.82,4.87,668.71,54616.31,enchente
18.74,37.29,997.62,7.29,283.4,4.66,1121.82,20793.46,enchente
-5.71,68.51,990.22,18.36,100.55,3.44,1572.43,55626.92,enchente
4.68,24.77,1014.04,11.12,293.82,4.44,1802.72,35933.22,enchente
34.9,57.35,1000.85,5.75,233.17,3.44,1312.04,47598.6,enchente
13.54,83.76,1007.17,17.02,139.52,4.71,808.56,49295.51,enchente
36.52,19.52,1000.85,3.74,276.26,4.6,1336.01,52937.51,enchente
-7.08,47.51,1023.02,21.09,182.17,3.42,463.17,55569.76,enchente
10.68,52.38,991.53,2.64,286.11,2.65,881.92,20428.77,enchente
-5.28,28.89,1023.73,19.29,117.33,3.05,1021.67,87189.34,enchente
0.52,29.52,994.42,15.09,221.07,2.12,1769.02,75323.06,enchente
5.35,21.53,973.03,4.93,258.3,2.36,1394.85,45485.95,enchente
36.83,36.17,966.78,20.2,246.36,2.39,419.13,71939.63,enchente
39.23,87.4,983.45,19.93,183.17,3.78,1002.36,59368.48,enchente
36.53,30.67,1000.03,12.93,246.88,3.84,942.3,61694.27,enchente
33.26,50.79,1033.5,20.77,162.33,3.79,1815.13,6675.94,enchente
40.35,76.16,1028.39,5.18,160.44,4.04,1019.17,50127.53,enchente
26.66,44.75,1033.31,9.6,221.25,2.87,1502.74,40639.09,enchente
8.87,65.91,999.45,3.25,108.15,4.75,920.07,29115.69,enchente
42.79,79.09,1005.29,22.51,268.7,3.83,1081.07,27478.07,enchente
33.31,69.13,988.71,0.57,249.37,4.61,1688.32,62866.81,enchente
9.67,17.16,998.85,0.33,141.64,2.25,1545.15,64804.32,enchente
-6.4,95.81,952.0,17.43,269.63,3.85,1285.25,50625.55,enchente
21.8,13.11,1049.52,22.48,176.47,3.28,1667.27,92876.11,enchente
33.45,50.18,1044.86,19.35,203.23,2.45,1483.3,11382.76,enchente
19.54,63.32,1032.22,6.14,157.81,2.09,1007.73,46399.25,enchente
20.02,95.24,999.42,15.19,112.47,2.28,1768.53,58628.82,enchente
7.13,29.7,1038.96,21.45,196.52,2.73,853.44,25199.58,enchente
34.49,64.69,985.62,3.63,267.09,3.67,1027.84,25336.14,enchente
5.8,63.37,1001.22,7.55,144.07,4.66,1004.72,7086.06,enchente
-1.76,99.2,997.74,18.52,172.48,3.82,1289.27,23725.02,enchente
1.21,67.96,1004.71,6.83,292.82,3.94,1108.54,67831.87,enchente
28.5,84.28,1002.66,17.9,182.34,2.17,378.94,16836.54,enchente
6.18,14.81,979.26,11.29,273.39,3.31,955.44,98035.26,enchente
22.82,60.25,975.18,4.03,217.91,3.95,1243.49,56761.2,enchente
-5.89,48.72,951.4,5.83,247.53,4.24,338.24,81804.82,enchente
19.06,68.49,1033.73,1.94,227.11,2.88,694.85,99171.91,enchente
11.27,21.49,980.62,3.93,273.03,4.18,1795.73,66912.36,enchente
28.84,29.73,993.37,1.67,237.93,3.8,810.7,44197.73,enchente
43.4,94.15,960.44,5.96,289.71,2.03,1046.3,85177.31,enchente
8.95,37.52,985.28,10.54,170.89,3.1,655.54,51132.48,enchente
-6.68,66.32,1020.49,24.76,216.91,4.92,939.06,38707.59,enchente
23.06,69.3,1048.35,9.68,268.44,3.36,1915.24,30714.73,enchente
43.13,94.49,1039.9,11.36,277.55,2.36,1117.26,99176.56,enchente
0.03,66.75,981.87,8.57,163.94,2.6,1573.89,10149.53,enchente
35.06,43.68,1003.41,15.65,242.19,2.12,553.25,74064.09,enchente
-8.18,56.32,969.21,14.96,181.37,3.16,1065.07,96316.85,enchente
-6.81,89.96,956.81,18.72,238.19,2.6,849.63,8959.6,enchente
24.6,51.26,955.98,1.59,231.74,3.61,1279.42,10282.39,enchente
19.79,30.59,972.37,18.32,115.39,2.32,1962.02,53084.31,enchente
41.96,63.97,958.93,12.49,150.5,3.77,514.16,42887.27,enchente
-2.47,37.33,986.39,17.19,138.18,3.13,502.28,13945.62,enchente
3.66,61.17,960.09,24.59,159.41,4.76,803.26,5915.1,enchente
31.22,28.0,1019.7,21.08,146.37,2.55,805.93,41116.84,enchente
22.68,49.02,1049.78,21.55,233.17,2.75,1825.36,29854.66,enchente
9.03,63.93,993.79,20.14,175.77,4.27,462.07,71724.83,enchente
38.93,45.98,1005.02,10.09,273.65,3.3,912.79,55734.02,enchente
16.04,50.15,1047.91,24.26,125.9,2.27,815.03,36117.53,enchente
28.52,30.96,1011.58,3.02,217.06,2.26,734.22,55758.95,enchente
30.68,39.73,1006.19,19.93,168.02,4.11,1090.26,49468.18,enchente
-7.71,22.64,975.11,11.56,180.01,3.46,409.8,5993.9,enchente
38.04,66.59,952.5,21.2,206.22,3.96,1569.74,67121.78,enchente
24.34,88.43,1043.07,4.0,157.02,3.53,1930.78,30199.5,enchente
22.4,53.58,1002.01,4.2,131.38,3.41,1163.71,72180.89,enchente
20.89,12.4,954.36,18.64,123.12,4.87,897.66,61147.03,enchente
-0.76,77.74,1006.51,7.7,187.52,2.94,1239.48,86407.0,enchente
11.73,56.91,953.93,9.34,266.18,3.22,314.32,90446.2,enchente
37.69,50.92,1036.0,1.75,167.78,3.92,1514.69,90357.66,enchente
16.37,27.5,983.17,18.57,275.46,3.21,494.04,35595.26,enchente
34.94,93.55,1039.75,2.99,123.47,4.99,435.4,85719.11,enchente
35.51,64.3,1024.28,4.69,204.72,4.45,397.41,20440.62,enchente
43.83,25.1,960.51,2.77,238.45,4.21,643.84,38756.88,enchente
16.37,31.13,955.66,1.88,201.88,3.71,1544.01,71378.9,enchente
10.63,64.58,1014.48,14.7,289.04,3.09,1188.19,84475.56,enchente
40.28,12.51,953.73,18.45,299.49,2.08,1466.57,72494.04,enchente
16.98,23.88,954.69,11.54,154.44,3.31,635.55,81597.37,enchente
3.86,13.28,1023.41,22.58,291.1,3.52,755.06,47264.0,enchente
23.75,33.53,955.15,22.58,235.77,4.83,901.84,9768.14,enchente
15.25,63.6,996.51,16.9,224.13,2.34,660.54,38134.32,enchente
21.16,82.81,952.74,20.73,163.99,2.47,375.75,10503.03,enchente
41.39,30.78,1026.5,5.8,183.21,3.85,1595.83,77022.73,enchente
9.45,78.36,1049.32,12.48,165.49,4.81,1585.73,42304.54,enchente
37.06,51.63,983.66,16.62,253.21,2.68,1741.46,59885.95,enchente
32.71,94.89,989.86,14.03,297.52,3.4,1578.47,31842.3,enchente
37.07,27.06,1003.08,2.61,131.24,3.54,1987.79,87795.69,enchente
35.23,74.36,1004.01,22.84,287.51,2.34,1047.13,11861.6,enchente
-7.12,60.26,1038.51,5.16,239.02,2.55,814.44,3137.09,enchente
8.51,27.74,976.2,3.67,248.37,2.87,424.09,1705.52,enchente
38.77,22.31,1029.34,23.21,238.39,3.79,527.08,68772.56,enchente
2.48,39.53,1016.3,8.69,235.68,4.9,1542.9,5825.84,enchente
23.28,54.66,1031.35,1.64,201.26,3.66,900.69,97878.1,enchente
5.99,40.81,1033.11,6.62,191.03,3.28,1424.63,27562.69,enchente
5.56,62.7,970.99,7.05,188.5,4.27,483.41,76339.3,enchente
25.38,93.82,976.58,16.41,262.11,4.43,610.64,32260.78,enchente
17.29,34.82,958.21,19.55,116.14,2.55,1012.53,84111.82,enchente
22.54,65.53,989.5,16.31,193.92,2.19,1852.57,17447.97,enchente
22.79,47.11,968.16,1.18,169.79,4.86,1699.27,46842.86,enchente
8.31,72.81,1046.24,5.1,237.31,4.08,406.24,72244.93,enchente
9.54,65.61,981.49,7.86,214.06,2.98,1084.06,70574.67,enchente
-3.66,57.9,1024.15,18.57,184.84,4.86,990.68,80719.12,enchente
-9.12,10.01,955.62,15.83,146.12,2.49,1568.13,27228.97,enchente
16.0,27.75,973.56,14.58,142.69,4.79,680.71,75813.65,enchente
28.8,72.08,1005.4,14.73,217.35,4.69,621.6,59392.79,enchente
5.26,86.58,984.59,4.99,256.01,4.76,987.8,92312.35,enchente
3.59,56.48,997.22,18.23,225.91,2.88,601.09,58365.61,enchente
15.99,62.81,986.48,13.18,112.89,2.32,1365.24,68788.75,enchente
16.66,69.21,969.79,7.27,294.77,2.6,572.27,27218.94,enchente
43.26,85.59,952.32,14.43,103.2,2.09,1087.59,37988.6,enchente
19.94,85.1,1030.02,20.39,281.14,2.56,620.9,74754.43,enchente
3.19,49.47,1049.47,13.12,233.35,2.28,1092.11,26384.69,enchente
7.45,74.72,1011.21,15.52,216.31,2.32,1211.36,58954.99,enchente
35.59,36.23,965.07,8.35,192.84,4.86,367.95,69854.87,enchente
23.46,85.23,1037.74,3.65,108.44,2.9,525.57,57950.6,enchente
20.47,46.24,1029.56,14.01,293.39,2.97,323.1,74040.08,enchente
29.6,76.29,986.61,14.91,295.08,4.32,1019.4,39982.56,enchente
26.0,14.35,991.87,0.4,180.56,2.27,1617.84,77415.91,enchente
-9.56,64.28,1043.33,3.95,290.27,3.75,1204.29,47803.86,enchente
12.3,97.92,964.27,0.89,288.85,4.1,1536.69,44282.75,enchente
10.08,20.83,1004.19,23.8,275.4,2.95,1629.07,64330.41,enchente
17.8,99.52,952.71,10.11,206.66,3.32,828.7,26880.06,enchente
23.99,82.53,1037.31,22.87,246.08,2.03,1210.64,25268.75,enchente
22.43,46.08,1040.85,14.76,194.19,4.54,336.03,33407.13,enchente
21.17,20.62,998.3,16.6,159.61,2.56,1041.75,86794.7,enchente
24.55,61.43,1038.3,23.9,134.8,3.16,1385.85,6330.44,enchente
29.02,33.99,1017.39,3.58,239.68,2.03,1567.01,58518.07,enchente
9.29,76.38,977.55,15.35,272.01,3.16,1378.38,2040.36,enchente
36.84,63.41,1016.84,3.72,117.7,2.51,1379.47,77432.45,enchente
32.79,26.38,1048.59,6.28,271.21,2.86,1032.13,29521.63,enchente
26.12,74.94,986.57,19.78,101.69,4.68,984.65,46219.19,enchente
5.96,88.2,1040.5,15.61,206.94,2.53,923.63,30131.15,enchente
0.84,35.11,969.44,8.82,234.8,2.42,1071.78,22195.33,enchente
25.1,34.08,1035.75,8.82,236.09,2.47,1317.49,90180.45,enchente
35.47,92.02,987.41,9.92,298.08,4.04,1143.79,22521.46,enchente
9.61,64.1,1037.97,8.17,268.46,2.39,961.17,1548.63,enchente
22.66,42.8,1024.86,6.19,198.4,4.95,1719.76,56803.06,enchente
39.1,94.58,974.02,1.17,170.02,2.13,1905.55,61227.53,enchente
15.78,89.5,1000.28,1.52,231.71,2.26,1236.07,89189.26,enchente
10.44,86.45,983.49,22.02,263.27,2.95,1246.34,51721.87,enchente
43.31,27.11,992.6,16.51,168.63,3.67,940.25,18744.02,enchente
31.75,57.78,961.95,3.33,199.72,4.1,1308.86,99593.05,enchente
28.31,69.44,1005.06,20.0,179.58,2.45,728.98,49409.95,enchente
13.07,74.48,1024.21,21.61,197.37,4.58,1673.56,31449.48,enchente
15.18,66.36,1026.71,10.83,123.26,4.62,1658.51,75417.64,enchente
22.45,16.24,1044.27,22.77,262.55,3.37,741.08,97836.62,enchente
29.95,43.43,966.85,17.29,192.21,3.21,843.84,54097.37,enchente
-8.22,17.16,1026.17,6.06,218.12,4.19,408.14,7881.96,enchente
-8.53,48.88,990.55,11.53,225.61,4.43,1660.49,48601.86,enchente
13.54,16.35,960.23,10.53,108.64,2.19,866.85,57331.36,enchente
17.94,93.39,996.91,23.82,168.93,2.61,1225.04,72701.72,enchente
16.81,77.38,952.87,18.82,280.69,3.13,1474.43,55956.02,enchente
42.29,59.01,973.67,21.33,169.44,4.96,1378.79,36520.81,enchente
-9.43,85.98,971.62,14.94,192.02,3.83,1517.05,40062.46,enchente
39.6,99.46,994.9,9.94,146.55,2.35,853.33,56726.27,enchente
-3.38,26.13,1042.35,19.32,266.05,2.91,565.6,65079.33,enchente
13.47,93.86,960.24,16.27,258.25,4.86,1278.44,22229.54,enchente
13.51,51.59,986.68,15.52,266.06,4.0,1646.96,8119.19,enchente
28.55,45.7,995.33,1.47,192.91,4.66,455.19,59442.51,enchente
32.22,59.31,1012.1,10.33,177.37,2.58,851.09,11988.1,enchente
30.77,48.86,990.62,16.42,296.47,2.23,1076.5,54779.14,enchente
27.66,91.32,998.44,16.94,242.81,3.72,922.92,65481.6,enchente
18.71,94.28,971.16,16.41,226.76,4.96,1028.71,63915.25,enchente
32.71,28.65,1048.44,13.78,210.99,3.27,1171.77,3757.15,enchente
13.16,33.18,965.79,19.43,147.02,4.35,758.62,61313.14,enchente
27.88,28.39,1005.3,2.88,135.28,4.84,903.69,29659.31,enchente
2.11,63.82,1007.56,9.7,122.14,4.91,1168.79,59511.56,enchente
39.09,77.43,1045.62,3.54,201.89,2.44,1694.69,1162.37,enchente
37.21,24.21,968.91,5.17,187.88,4.94,1297.14,80938.06,enchente
24.07,15.96,1046.9,8.79,247.92,2.26,816.57,59606.8,enchente
39.51,22.4,1005.69,7.37,294.64,4.81,1620.06,90725.12,enchente
24.43,42.44,983.39,11.48,124.93,3.7,1125.33,30467.98,enchente
-6.25,90.13,1026.95,23.09,132.17,4.88,1599.24,63370.99,enchente
42.44,62.95,975.37,5.45,118.55,4.17,1162.73,72639.66,enchente
41.86,83.92,1023.21,7.31,120.38,4.09,1487.44,90931.6,enchente
9.94,63.94,1010.35,12.13,254.88,4.49,1328.4,95078.29,enchente
34.09,53.32,1009.52,17.08,218.85,4.19,426.47,25636.27,enchente
29.26,22.35,959.4,7.84,246.11,4.15,1619.8,28496.05,enchente
-8.78,68.85,1043.02,20.48,184.89,2.44,1572.86,404.23,enchente
12.54,40.07,957.81,9.46,130.19,4.31,497.4,72940.03,enchente
39.32,53.58,961.31,15.05,278.65,4.43,1476.97,9052.9,enchente
-6.9,34.25,1047.85,1.7,242.88,2.39,879.66,78169.81,enchente
-4.25,71.99,957.58,12.75,226.42,3.05,1263.74,65512.68,enchente
9.46,76.73,977.34,21.14,243.94,2.92,1107.14,29086.26,enchente
8.65,52.6,986.33,10.72,130.01,3.05,631.63,536.45,enchente
6.21,78.05,1036.15,14.23,286.54,2.56,615.66,71634.71,enchente
11.74,99.6,973.46,3.43,257.92,2.46,858.24,36951.41,enchente
2.15,88.11,1000.35,0.13,190.18,2.83,526.01,61136.47,enchente
9.32,26.87,1041.6,12.34,216.53,4.0,1948.11,50740.72,enchente
-4.08,15.34,973.21,21.95,111.39,4.85,602.42,8197.36,enchente
-4.97,71.37,988.89,3.66,177.41,3.33,1194.61,98112.69,enchente
-3.29,31.2,1026.04,13.29,139.1,3.75,435.17,37502.67,enchente
35.29,61.7,985.1,4.21,102.67,2.08,725.78,87519.73,enchente
18.79,99.28,1009.74,13.91,258.99,2.61,955.6,24868.75,enchente
-0.38,17.34,1032.86,11.65,297.42,3.58,1125.8,28502.27,enchente
15.89,62.43,955.48,5.97,218.58,2.53,707.85,71623.12,enchente
-4.17,92.43,973.32,15.46,144.31,2.62,1073.58,50809.05,enchente
23.45,61.84,954.15,2.08,235.63,4.11,1290.23,2691.41,enchente
30.0,56.33,1019.99,6.11,247.2,4.91,1952.44,62214.9,enchente
28.6,99.12,1044.07,0.63,298.28,4.56,736.99,97342.23,enchente
16.65,25.47,1004.54,20.32,165.76,4.03,1513.01,44550.47,enchente
5.4,71.48,959.21,0.54,278.36,2.26,1217.52,98389.55,enchente
43.45,81.85,987.33,22.69,192.07,3.33,1614.88,73938.16,enchente
2.36,32.9,1047.17,11.34,130.82,2.13,310.23,51135.47,enchente
37.73,94.12,981.31,23.67,281.98,4.89,372.05,16953.81,enchente
-2.09,68.71,1019.03,16.43,298.67,4.0,1259.3,80325.79,enchente
7.49,90.67,1040.86,4.03,234.64,4.72,1401.95,33050.09,enchente
9.48,70.45,957.26,7.96,289.07,3.63,1398.36,76749.52,enchente
7.93,17.31,1011.93,10.7,147.99,2.63,1818.2,78302.06,enchente
26.35,36.08,1007.48,16.43,166.4,4.06,714.2,64082.35,enchente
-4.41,18.64,1000.91,21.07,264.81,4.42,1519.59,79978.27,enchente
10.12,34.78,992.93,7.9,210.06,3.94,369.15,87786.76,enchente
19.05,22.32,958.63,24.26,244.05,4.02,317.81,85269.06,enchente
0.13,63.38,997.5,17.02,277.26,2.08,1076.32,88846.99,enchente
10.45,58.33,1002.32,8.35,212.81,4.16,1746.56,3887.98,enchente
22.32,49.75,973.77,1.94,232.23,4.16,1579.9,83042.07,enchente
32.65,29.71,1040.26,24.24,178.3,3.05,1662.56,49403.67,enchente
25.34,63.12,990.04,8.49,134.52,2.35,813.81,61049.07,enchente
9.16,51.66,1033.54,13.59,146.23,3.3,1653.24,399.8,enchente
16.71,88.37,1033.76,4.08,105.23,3.08,517.14,21716.42,enchente
14.98,80.3,1029.82,22.16,231.19,3.29,1061.93,93596.3,enchente
0.24,74.2,1003.29,4.35,185.09,4.66,488.77,48201.67,enchente
11.45,21.43,1042.64,15.07,223.9,3.67,844.11,36670.52,enchente
44.75,43.47,1046.71,1.94,126.2,3.89,738.63,53894.85,enchente
36.64,38.06,988.35,20.34,177.2,2.35,1375.94,80702.3,enchente
25.92,93.08,1012.87,18.43,201.73,4.22,1850.48,82762.45,enchente
0.17,51.77,1048.95,21.29,192.71,3.94,606.64,28676.74,enchente
40.42,16.84,1005.16,4.26,249.42,3.32,1097.83,24293.05,enchente
25.1,68.55,1005.05,24.9,172.85,2.03,1805.31,30965.53,enchente
26.5,48.03,972.23,4.78,226.29,4.26,1581.99,88437.46,enchente
5.55,23.78,962.04,23.89,229.12,2.13,1067.32,29351.85,enchente
40.74,21.04,1005.67,23.69,156.26,2.2,1250.77,76885.9,enchente
-5.44,42.05,969.33,24.25,178.92,4.83,1404.63,50770.97,enchente
17.7,41.58,955.8,20.44,262.88,3.67,1432.21,76818.96,enchente
43.39,56.8,983.54,9.89,149.23,4.81,412.16,77189.24,enchente
21.14,10.2,1031.69,20.61,294.26,2.79,1992.48,29140.02,enchente
10.17,82.72,991.24,21.24,166.07,2.09,1043.57,53258.48,enchente
-2.46,12.23,1025.13,7.27,202.44,3.06,1060.08,88232.83,enchente
1.17,20.44,1007.83,18.16,296.68,3.93,1402.19,5721.14,enchente
25.34,48.42,988.12,0.97,299.66,2.24,1340.61,95723.04,enchente
10.15,29.89,972.42,17.66,298.08,3.17,1604.91,11073.27,enchente
27.54,87.13,1003.88,20.82,181.25,2.92,578.26,64103.12,enchente
-8.46,49.38,1041.17,10.29,289.13,2.34,991.27,54594.39,enchente
4.76,87.33,1026.14,17.95,166.78,2.82,609.88,80643.85,enchente
33.99,58.57,1040.92,8.79,286.64,2.11,907.2,24395.18,enchente
-7.12,86.5,967.77,20.1,200.27,2.02,1953.59,95574.8,enchente
3.1,41.36,1042.0,23.45,297.58,4.31,1039.66,11194.19,enchente
2.36,61.92,986.23,11.29,120.4,4.82,917.56,65954.99,enchente
-3.47,87.64,950.54,17.34,192.15,2.59,834.95,72294.75,enchente
35.91,83.24,950.43,7.48,293.15,4.71,740.02,53038.41,enchente
41.06,21.46,1004.72,8.7,117.1,2.3,556.53,26105.48,enchente
-5.35,41.78,991.34,5.37,190.19,4.01,971.58,31239.09,enchente
21.84,20.81,956.28,18.53,158.06,3.84,653.38,57451.52,enchente
-9.44,14.53,1043.61,6.09,184.21,4.09,531.88,16592.48,enchente
35.46,59.53,974.54,14.77,243.58,3.31,1919.74,94381.74,enchente
1.79,22.77,963.56,19.17,138.28,4.0,882.8,75695.98,enchente
39.51,89.49,959.02,13.06,250.51,2.55,509.12,26244.65,enchente
26.7,32.83,1026.55,20.99,234.51,3.9,771.95,46929.0,enchente
26.96,64.0,1030.7,9.76,223.38,2.35,1831.75,90443.51,enchente
37.89,80.02,986.14,7.9,285.63,3.42,1120.82,23284.85,enchente
-0.21,12.02,989.48,17.88,114.99,3.97,1550.6,46751.94,enchente
-1.84,10.02,964.93,14.31,210.88,4.33,426.69,4905.69,enchente
33.43,75.99,960.41,21.85,111.92,3.79,915.33,78699.1,enchente
-2.59,60.51,1010.8,19.16,225.9,2.29,1583.46,43417.36,enchente
21.19,12.38,968.03,20.14,279.65,3.05,1436.95,3725.39,enchente
20.52,53.89,1044.41,1.61,192.45,4.79,1429.34,62186.53,enchente
38.41,94.89,1022.12,15.77,223.07,3.95,759.17,94227.87,enchente
4.09,28.35,966.62,15.51,225.04,4.08,897.9,58425.2,enchente
8.66,56.64,998.85,0.74,112.59,4.81,311.09,8300.65,enchente
-4.85,81.99,1045.37,5.42,170.77,3.65,906.8,5124.62,enchente
35.03,67.93,953.98,3.97,208.45,3.41,712.15,89571.98,enchente
-4.2,30.15,1026.81,8.42,206.74,2.21,1925.5,49923.11,enchente
0.39,69.31,1049.97,19.66,246.67,2.49,639.98,62235.78,enchente
40.06,25.81,984.86,9.46,179.18,3.11,1710.65,66496.66,enchente
40.8,18.67,994.51,6.88,187.04,2.05,1776.54,92862.56,enchente
31.08,22.09,1048.52,11.51,106.62,2.82,337.94,22330.08,enchente
15.01,87.1,957.71,15.92,165.94,3.2,777.48,84090.14,enchente
5.27,11.9,1029.41,3.91,112.22,4.96,1929.09,76207.12,enchente
44.86,99.04,993.17,0.19,161.49,3.31,1893.76,89644.77,enchente
44.77,69.61,970.83,16.23,275.38,3.73,797.09,99400.42,enchente
5.33,67.56,1025.81,21.79,152.79,4.61,1487.68,63677.82,enchente
-7.19,13.27,1027.89,3.91,142.99,2.03,1609.08,3842.75,enchente
-0.77,40.93,952.37,3.03,201.11,3.06,1870.13,89343.19,enchente
44.87,62.9,967.99,8.89,259.17,4.13,1551.03,54161.3,enchente
12.38,26.38,1029.02,19.62,141.82,2.1,1042.61,87857.83,enchente
-5.43,62.1,982.06,2.49,100.68,3.06,1527.24,57600.84,enchente
40.04,50.9,992.97,1.52,210.0,4.98,1974.44,2137.37,enchente
-9.75,54.12,1039.75,20.76,106.51,2.1,1615.35,37701.23,enchente
-2.0,86.79,1004.7,20.85,104.95,4.39,1470.76,30964.34,enchente
24.34,68.88,972.53,19.21,102.72,2.17,1427.92,87071.44,enchente
10.5,31.83,1024.05,10.34,285.81,4.95,1877.82,41534.68,enchente
25.85,53.46,1019.21,11.56,274.54,2.61,1550.12,70710.48,enchente
10.38,44.74,950.49,23.56,125.97,2.18,1527.6,78733.91,enchente
-9.7,27.79,990.04,1.77,192.16,2.1,1415.05,32915.23,enchente
1.37,48.73,999.39,23.92,295.32,4.92,359.04,14712.28,enchente
28.85,61.93,1041.51,12.7,117.01,2.94,315.72,90134.4,enchente
36.51,41.21,1028.02,17.12,170.1,3.21,1561.85,22744.56,enchente
32.83,32.24,1010.83,18.56,116.66,4.83,330.63,98206.48,enchente
38.83,71.86,1024.55,4.8,179.97,4.28,1459.5,81330.15,enchente
15.47,91.74,950.89,21.88,158.33,4.24,1048.59,78741.35,enchente
-3.29,80.38,955.72,4.92,233.46,4.44,522.15,34710.49,enchente
8.2,53.79,1044.75,19.39,299.49,2.07,834.23,88758.53,enchente
27.33,93.54,962.6,2.51,119.69,2.78,1982.69,60293.53,enchente
41.02,12.04,958.51,6.41,214.42,4.19,1651.71,28644.22,enchente
39.58,27.01,967.31,10.15,262.81,4.01,1560.18,41929.16,enchente
34.3,42.35,991.61,11.8,134.11,3.22,1408.05,16886.98,enchente
-9.88,19.92,1016.68,6.87,138.12,4.77,888.09,88206.11,enchente
-0.64,24.38,994.63,14.85,260.69,2.14,1765.29,85506.94,enchente
32.45,21.98,1049.06,12.48,232.06,4.18,881.04,97294.0,enchente
4.56,82.09,1007.5,16.92,179.21,2.37,1426.22,78574.84,enchente
-7.46,45.57,994.05,12.23,124.36,2.07,1779.63,41465.02,enchente
4.33,37.7,1000.87,1.24,204.25,4.43,1466.56,52052.19,enchente
-9.71,51.42,1017.24,2.21,278.38,4.5,881.24,16575.14,enchente
6.03,81.5,957.93,17.25,197.21,3.08,1367.99,26026.51,enchente
21.43,26.51,981.07,15.66,243.99,3.65,598.13,35042.16,enchente
25.31,36.76,1047.05,2.05,231.29,2.14,1639.25,71470.23,enchente
14.82,34.66,999.35,20.18,283.94,3.77,672.94,33745.5,enchente
-7.33,37.94,1013.83,14.07,262.8,4.47,902.56,49135.64,enchente
6.54,11.33,1029.5,9.27,257.23,4.54,1180.9,37439.6,enchente
21.37,55.67,1009.13,22.42,177.54,3.73,1669.04,64059.15,enchente
3.11,22.08,952.08,17.06,124.35,3.59,1886.62,95959.36,enchente
9.83,22.65,975.22,5.75,130.52,3.37,455.84,52772.93,enchente
-8.98,23.33,978.9,2.11,294.72,4.76,1061.3,57411.22,enchente
-9.89,44.84,1022.43,16.31,105.78,4.42,1938.16,34030.82,enchente
40.59,79.95,978.63,14.78,150.66,4.68,724.63,72933.65,enchente
7.43,36.92,959.5,11.02,104.49,4.2,1864.37,62923.59,enchente
42.66,42.39,987.13,24.55,178.22,2.03,1172.88,57730.73,enchente
10.21,58.33,950.69,1.0,103.37,4.19,1426.27,29268.76,enchente
9.41,58.27,992.41,7.12,195.25,4.55,789.42,18533.09,enchente
-9.49,79.47,1044.77,9.95,279.5,4.0,1470.82,67979.37,enchente
5.79,22.71,1038.98,1.82,276.25,4.93,1639.85,67914.3,enchente
32.04,51.07,958.81,19.12,240.3,2.4,923.62,84812.86,enchente
27.8,34.26,956.89,19.23,273.92,4.37,356.84,89099.24,enchente
21.71,80.52,1041.28,16.23,168.77,4.46,792.88,75526.72,enchente
-9.55,62.46,963.33,4.54,213.17,3.18,586.06,4985.0,enchente
43.35,23.97,1041.89,6.53,182.47,3.57,401.03,42773.46,enchente
